id,type,severity,timestamp,week,product,entity,description,score,complaint_ids,observed,expected,ratio,p_value,companies_affected,company_list,avg_ratio,common_issues,cluster_id,cluster_label,baseline_share,current_share,z_score,novel_count,total_count,novel_share
vol_Debt collection_2024-02-19/2024-02-25_55672d6b,volume_spike,high,2026-02-02 02:37:39.463922,2024-02-19/2024-02-25,Debt collection,CL Holdings LLC,CL Holdings LLC: 145 vs 27.8 expected (5.2x),52.25225225225225,"[8393414, 8378670, 8383819, 8398772, 8379475, 8376464, 8378833, 8374860, 8396393, 8383471]",145.0,27.8,5.23,0.0,,,,,,,,,,,,
vol_Debt collection_2024-08-19/2024-08-25_b0bf12ce,volume_spike,high,2026-02-02 02:37:40.663906,2024-08-19/2024-08-25,Debt collection,"Credit Control, LLC","Credit Control, LLC: 18 vs 3.0 expected (6.0x)",50.61090217591383,"[9881236, 9891893, 9850914, 9896223, 9894071, 9850605, 9881256, 9863415, 9866029, 9882064]",18.0,3.0,6.0,0.0,,,,,,,,,,,,
vol_Debt collection_2024-01-15/2024-01-21_e0b45922,volume_spike,high,2026-02-02 02:37:41.013276,2024-01-15/2024-01-21,Debt collection,OneMain Finance Corporation,OneMain Finance Corporation: 10 vs 1.3 expected (7.5x),43.75461264177614,"[8182752, 8191672, 8176077, 8178412, 8185191, 8182128, 8183912, 8184131, 8163913, 8170525]",10.0,1.3,7.5,1e-06,,,,,,,,,,,,
vol_Debt collection_2024-02-12/2024-02-18_55672d6b,volume_spike,high,2026-02-02 02:37:40.579965,2024-02-12/2024-02-18,Debt collection,CL Holdings LLC,CL Holdings LLC: 63 vs 16.8 expected (3.8x),37.61194029850746,"[8345609, 8339587, 8346239, 8331744, 8334883, 8329150, 8342365, 8337827, 8344426, 8331928]",63.0,16.8,3.76,0.0,,,,,,,,,,,,
vol_Debt collection_2024-03-11/2024-03-17_0a2029cc,volume_spike,high,2026-02-02 02:37:40.247169,2024-03-11/2024-03-17,Debt collection,"TRANSUNION INTERMEDIATE HOLDINGS, INC.","TRANSUNION INTERMEDIATE HOLDINGS, INC.: 365 vs 112.5 expected (3.2x)",32.44444444444444,"[8538708, 8522507, 8553286, 8531550, 8527132, 8531761, 8522051, 8542308, 8537303, 8525508]",365.0,112.5,3.24,0.0,,,,,,,,,,,,
vol_Debt collection_2024-03-11/2024-03-17_934d8cde,volume_spike,high,2026-02-02 02:37:40.249450,2024-03-11/2024-03-17,Debt collection,"EQUIFAX, INC.","EQUIFAX, INC.: 291 vs 95.5 expected (3.0x)",30.47120418848168,"[8525642, 8553064, 8519206, 8524466, 8527648, 8523614, 8537059, 8537935, 8533835, 8515243]",291.0,95.5,3.05,0.0,,,,,,,,,,,,
vol_Debt collection_2024-03-11/2024-03-17_772f4b13,volume_spike,high,2026-02-02 02:37:40.248414,2024-03-11/2024-03-17,Debt collection,Experian Information Solutions Inc.,Experian Information Solutions Inc.: 313 vs 103.0 expected (3.0x),30.388349514563107,"[8527803, 8557395, 8554260, 8552275, 8536667, 8527104, 8545441, 8522493, 8534718, 8547828]",313.0,103.0,3.04,0.0,,,,,,,,,,,,
vol_Debt collection_2024-03-04/2024-03-10_934d8cde,volume_spike,high,2026-02-02 02:37:40.287658,2024-03-04/2024-03-10,Debt collection,"EQUIFAX, INC.","EQUIFAX, INC.: 187 vs 61.8 expected (3.0x)",30.2834008097166,"[8515324, 8488990, 8491098, 8474416, 8500776, 8476316, 8489294, 8495144, 8473687, 8474100]",187.0,61.8,3.03,0.0,,,,,,,,,,,,
vol_Debt collection_2024-03-04/2024-03-10_0a2029cc,volume_spike,medium,2026-02-02 02:37:40.285477,2024-03-04/2024-03-10,Debt collection,"TRANSUNION INTERMEDIATE HOLDINGS, INC.","TRANSUNION INTERMEDIATE HOLDINGS, INC.: 220 vs 74.2 expected (3.0x)",29.629629629629626,"[8492212, 8507002, 8501701, 8465814, 8492575, 8509994, 8474755, 8506545, 8486792, 8494433]",220.0,74.2,2.96,0.0,,,,,,,,,,,,
corr_Debt collection_2025-01-13/2025-01-19,correlated_spike,high,2026-02-02 02:37:39.755741,2025-01-13/2025-01-19,Debt collection,,12 companies spiked together (avg 2.4x),28.271237333649673,"[11541595, 11527013, 11623090, 11526320, 11527576, 11661503, 11556735, 11659585, 11524590, 11583829]",,,,,12.0,"['Rowland Avenue Management, Inc. A/KA Columbia Debt Recovery, LLC d/b/a Genesis', 'CAINE & WEINER COMPANY, INC.', 'Harris & Harris, Ltd.', 'Aldous & Associates, PLLC', 'NCB Management Services Inc.', 'WELLS FARGO & COMPANY', 'TD BANK US HOLDING COMPANY', 'Kikoff Inc.', 'First Credit Services Inc.', 'RentDebt Automated Collections, LLC']",2.36,"{'Attempts to collect debt not owed': 64, 'False statements or representation': 35, 'Written notification about debt': 16}",,,,,,,,
vol_Debt collection_2024-03-04/2024-03-10_772f4b13,volume_spike,medium,2026-02-02 02:37:40.286639,2024-03-04/2024-03-10,Debt collection,Experian Information Solutions Inc.,Experian Information Solutions Inc.: 188 vs 72.0 expected (2.6x),26.11111111111111,"[8504107, 8482294, 8504974, 8490539, 8503237, 8495337, 8497106, 8483000, 8506458, 8475246]",188.0,72.0,2.61,0.0,,,,,,,,,,,,
corr_Debt collection_2024-09-23/2024-09-29,correlated_spike,high,2026-02-02 02:37:39.850258,2024-09-23/2024-09-29,Debt collection,,9 companies spiked together (avg 2.8x),25.13050283050283,"[10259027, 10233139, 10260189, 10280919, 10224157, 10261402, 10254725, 10246583, 10268129, 10286687]",,,,,9.0,"['Kriya Capital, LLC', 'V and H Portfolio', 'JPMORGAN CHASE & CO.', 'NAVY FEDERAL CREDIT UNION', 'AMERICAN EXPRESS COMPANY', 'WELLS FARGO & COMPANY', 'Collection Management Holdings, LLC', 'TD BANK US HOLDING COMPANY', 'Ability Recovery Services, LLC']",2.79,"{'Attempts to collect debt not owed': 34, 'Written notification about debt': 19, 'False statements or representation': 18}",,,,,,,,
corr_Debt collection_2024-03-04/2024-03-10,correlated_spike,high,2026-02-02 02:37:40.304303,2024-03-04/2024-03-10,Debt collection,,9 companies spiked together (avg 2.6x),23.306335723673186,"[8504107, 8515324, 8516521, 8492212, 8482294, 8507002, 8488990, 8491098, 8504974, 8474416]",,,,,9.0,"['TRANSUNION INTERMEDIATE HOLDINGS, INC.', 'Experian Information Solutions Inc.', 'EQUIFAX, INC.', 'Amsher Collection Services, Inc.', 'Spring Oaks Capital, LLC', 'CCF Intermediate Holdings LLC', 'CAVALRY INVESTMENTS, LLC', 'Healthcare Finance Direct LLC.', 'Rent Recovery Solutions']",2.59,"{'Written notification about debt': 445, 'Attempts to collect debt not owed': 167, 'Took or threatened to take negative or legal action': 13}",,,,,,,,
corr_Debt collection_2025-01-20/2025-01-26,correlated_spike,high,2026-02-02 02:37:39.929642,2025-01-20/2025-01-26,Debt collection,,9 companies spiked together (avg 2.6x),22.981846193022662,"[11749009, 11690170, 11701718, 11706713, 11694893, 11679137, 11757090, 11765138, 11751299, 11599248]",,,,,9.0,"['JPMORGAN CHASE & CO.', 'V and H Portfolio', 'Debt Recovery Solutions, LLC', 'Ability Recovery Services, LLC', 'Exeter Finance, LLC.', 'CONTRACT CALLERS INC', 'Bridgecrest Acceptance Corporation', 'MRS BPO, LLC', 'Medical Data Systems, Inc.']",2.55,"{'Attempts to collect debt not owed': 37, 'False statements or representation': 16, 'Written notification about debt': 13}",,,,,,,,
corr_Debt collection_2024-08-12/2024-08-18,correlated_spike,high,2026-02-02 02:37:39.308216,2024-08-12/2024-08-18,Debt collection,,8 companies spiked together (avg 2.9x),22.805735131741322,"[9769306, 9785696, 9841160, 9772907, 9818111, 9814930, 9828372, 9823010, 9825177, 9786910]",,,,,8.0,"['I.C. System, Inc.', 'HW Holding, Inc', 'AMERICAN EXPRESS COMPANY', 'Velocity Portfolio Group', 'Eastern Account Systems of Connecticut, Inc.', 'Rent Recovery Solutions', 'Nelnet, Inc.', 'American Coradius International LLC']",2.85,"{'Attempts to collect debt not owed': 40, 'Written notification about debt': 18, 'False statements or representation': 12}",,,,,,,,
vol_Debt collection_2024-01-22/2024-01-28_0a2029cc,volume_spike,medium,2026-02-02 02:37:39.433194,2024-01-22/2024-01-28,Debt collection,"TRANSUNION INTERMEDIATE HOLDINGS, INC.","TRANSUNION INTERMEDIATE HOLDINGS, INC.: 153 vs 72.2 expected (2.1x)",21.176469567183247,"[8213026, 8215108, 8232402, 8221107, 8200814, 8206991, 8214988, 8199728, 8219681, 8214792]",153.0,72.2,2.12,0.0,,,,,,,,,,,,
vol_Debt collection_2023-12-04/2023-12-10_3d72a197,volume_spike,high,2026-02-02 02:37:40.066612,2023-12-04/2023-12-10,Debt collection,"W&A Intermediate Co., LLC","W&A Intermediate Co., LLC: 13 vs 3.0 expected (4.3x)",20.76468493828274,"[7951914, 7948454, 7974988, 7952963, 7972921, 7953801, 7952371, 7940405, 7952848, 7961707]",13.0,3.0,4.33,1.6e-05,,,,,,,,,,,,
vol_Debt collection_2024-01-22/2024-01-28_934d8cde,volume_spike,medium,2026-02-02 02:37:39.435284,2024-01-22/2024-01-28,Debt collection,"EQUIFAX, INC.","EQUIFAX, INC.: 115 vs 56.2 expected (2.0x)",20.40530414160051,"[8200363, 8219367, 8206110, 8209742, 8215851, 8207750, 8211478, 8205265, 8211471, 8199753]",115.0,56.2,2.04,0.0,,,,,,,,,,,,
vol_Debt collection_2024-01-22/2024-01-28_772f4b13,volume_spike,medium,2026-02-02 02:37:39.434339,2024-01-22/2024-01-28,Debt collection,Experian Information Solutions Inc.,Experian Information Solutions Inc.: 141 vs 69.2 expected (2.0x),20.360770338176536,"[8219456, 8202863, 8208134, 8211685, 8211793, 8201346, 8198439, 8219765, 8200812, 8200674]",141.0,69.2,2.04,0.0,,,,,,,,,,,,
corr_Debt collection_2024-12-30/2025-01-05,correlated_spike,high,2026-02-02 02:37:39.815559,2024-12-30/2025-01-05,Debt collection,,7 companies spiked together (avg 2.8x),19.717748917748917,"[11355354, 11351280, 11325912, 11343727, 11383991, 11356596, 11348580, 11345559, 11415946, 11390944]",,,,,7.0,"['Affirm Holdings, Inc', 'Southwest Credit Systems, L.P.', 'Aldous & Associates, PLLC', 'Debt Recovery Solutions, LLC', 'Source Receivables Management LLC', 'V and H Portfolio', 'Halsted Financial Services, LLC.']",2.82,"{'Attempts to collect debt not owed': 34, 'Written notification about debt': 13, 'Took or threatened to take negative or legal action': 6}",,,,,,,,
corr_Debt collection_2024-03-11/2024-03-17,correlated_spike,high,2026-02-02 02:37:40.274582,2024-03-11/2024-03-17,Debt collection,,7 companies spiked together (avg 2.7x),19.19807658242569,"[8538708, 8525642, 8522507, 8527803, 8553064, 8519206, 8524466, 8553286, 8527648, 8531550]",,,,,7.0,"['TRANSUNION INTERMEDIATE HOLDINGS, INC.', 'Experian Information Solutions Inc.', 'EQUIFAX, INC.', 'CITIBANK, N.A.', 'ONLINE Information Services, Inc.', 'Medical Data Systems, Inc.', 'NRA Group, LLC']",2.74,"{'Written notification about debt': 517, 'Attempts to collect debt not owed': 461, 'Took or threatened to take negative or legal action': 9}",,,,,,,,
vol_Debt collection_2024-05-06/2024-05-12_92fdf083,volume_spike,high,2026-02-02 02:37:40.725532,2024-05-06/2024-05-12,Debt collection,"Aldous & Associates, PLLC","Aldous & Associates, PLLC: 18 vs 5.0 expected (3.6x)",18.95863032738453,"[8938783, 8943307, 8964540, 8976398, 8952753, 8971443, 8971868, 8942994, 8959919, 8954478]",18.0,5.0,3.6,5e-06,,,,,,,,,,,,
clust_Debt collection_2024-06-24/2024-06-30_5,cluster_growing,high,2026-02-02 02:37:40.760899,2024-06-24/2024-06-30,Debt collection,,Cluster 'cluster_5' growing: 1.2% → 11.3%,18.92938954323873,"[9377837, 9378319, 9335848, 9359185, 9336200, 9336327, 9363292, 9362111, 9349236, 9366803]",,,,,,,,,5.0,cluster_5,1.19,11.3,18.93,,,
vol_Debt collection_2025-01-27/2025-02-02_16537a2a,volume_spike,high,2026-02-02 02:37:40.215286,2025-01-27/2025-02-02,Debt collection,"CLGF Holdco 1, LLC","CLGF Holdco 1, LLC: 11 vs 2.5 expected (4.4x)",18.525007168100714,"[11817360, 11871403, 11850581, 11800485, 11814893, 11857677, 11817685, 11841273, 11813920, 11801157]",11.0,2.5,4.4,6.2e-05,,,,,,,,,,,,
vol_Debt collection_2024-02-05/2024-02-11_3cd9d1bd,volume_spike,high,2026-02-02 02:37:40.958894,2024-02-05/2024-02-11,Debt collection,"Sequium Asset Solutions, LLC","Sequium Asset Solutions, LLC: 11 vs 2.5 expected (4.4x)",18.525007168100714,"[8289355, 8287302, 8316548, 8304224, 8326533, 8287909, 8320142, 8315857, 8315386, 8319719]",11.0,2.5,4.4,6.2e-05,,,,,,,,,,,,
corr_Debt collection_2024-02-19/2024-02-25,correlated_spike,high,2026-02-02 02:37:39.483488,2024-02-19/2024-02-25,Debt collection,,6 companies spiked together (avg 2.9x),17.19124069124069,"[8393414, 8392832, 8378670, 8394101, 8383819, 8398772, 8379475, 8409659, 8376464, 8378833]",,,,,6.0,"['CL Holdings LLC', 'W&A Intermediate Co., LLC', 'FAIR COLLECTIONS & OUTSOURCING, INC.', 'AMERICAN EXPRESS COMPANY', 'Aargon Agency, Inc.', 'Credit Control, LLC']",2.87,"{'Attempts to collect debt not owed': 102, 'Written notification about debt': 50, 'Took or threatened to take negative or legal action': 19}",,,,,,,,
vol_Debt collection_2025-01-13/2025-01-19_b7003b2d,volume_spike,low,2026-02-02 02:37:39.722224,2025-01-13/2025-01-19,Debt collection,Resurgent Capital Services L.P.,Resurgent Capital Services L.P.: 166 vs 95.8 expected (1.7x),17.032992729133177,"[11498591, 11626698, 11647937, 11596301, 11621916, 11502876, 11537926, 11536129, 11551108, 11567416]",166.0,95.8,1.73,0.0,,,,,,,,,,,,
corr_Debt collection_2024-06-10/2024-06-16,correlated_spike,high,2026-02-02 02:37:39.879472,2024-06-10/2024-06-16,Debt collection,,7 companies spiked together (avg 2.4x),16.840472393103973,"[9220974, 9272520, 9242683, 9254931, 9253761, 9236729, 9262721, 9252840, 9252271, 9254273]",,,,,7.0,"['Affirm Holdings, Inc', 'JPMORGAN CHASE & CO.', 'Diversified Adjustment Service, Inc.', 'Eastern Account Systems of Connecticut, Inc.', 'Credit Corp Solutions Inc.', 'LJ Ross Associates', 'CREDIT ACCEPTANCE CORPORATION']",2.41,"{'Attempts to collect debt not owed': 37, 'Written notification about debt': 10, 'Took or threatened to take negative or legal action': 6}",,,,,,,,
vol_Debt collection_2025-01-20/2025-01-26_103be0da,volume_spike,high,2026-02-02 02:37:39.908265,2025-01-20/2025-01-26,Debt collection,"UPGRADE, INC.","UPGRADE, INC.: 8 vs 1.7 expected (4.8x)",16.64482484269948,"[11768141, 11590198, 11772221, 11586988, 11727599, 11589600, 11759591, 11617893]",8.0,1.7,4.8,0.000341,,,,,,,,,,,,
corr_Debt collection_2024-08-19/2024-08-25,correlated_spike,high,2026-02-02 02:37:40.680757,2024-08-19/2024-08-25,Debt collection,,5 companies spiked together (avg 3.3x),16.58730158730159,"[9848142, 9898813, 9881236, 9891893, 9893959, 9874792, 9850914, 9910695, 9896223, 9894071]",,,,,5.0,"['Credit Control, LLC', 'Sequium Asset Solutions, LLC', 'Rent Recovery Solutions', 'Consumer Adjustment Company Incorporated', 'Cedars Business Services, LLC']",3.32,"{'Attempts to collect debt not owed': 23, 'Written notification about debt': 10, 'False statements or representation': 4}",,,,,,,,
vol_Debt collection_2024-10-21/2024-10-27_3976c962,volume_spike,high,2026-02-02 02:37:40.154212,2024-10-21/2024-10-27,Debt collection,Velocity Portfolio Group,Velocity Portfolio Group: 14 vs 3.8 expected (3.7x),16.465502535022306,"[10538933, 10538060, 10521470, 10530957, 10533756, 10521866, 10525631, 10538840, 10540689, 10561353]",14.0,3.8,3.73,3.9e-05,,,,,,,,,,,,
corr_Debt collection_2025-01-06/2025-01-12,correlated_spike,high,2026-02-02 02:37:40.343048,2025-01-06/2025-01-12,Debt collection,,7 companies spiked together (avg 2.3x),16.118171866447728,"[11388320, 11392471, 11392788, 11449679, 11390052, 11412577, 11425507, 11456297, 11440046, 11464306]",,,,,7.0,"['ProCollect, Inc.', 'FAIR COLLECTIONS & OUTSOURCING, INC.', 'CREDIT ACCEPTANCE CORPORATION', 'Absolute Resolutions Corp.', 'Lockhart, Morris & Montgomery Inc.', 'NRA Group, LLC', 'MRS BPO, LLC']",2.3,"{'Attempts to collect debt not owed': 30, 'Written notification about debt': 9, 'Took or threatened to take negative or legal action': 9}",,,,,,,,
corr_Debt collection_2024-02-12/2024-02-18,correlated_spike,high,2026-02-02 02:37:40.598767,2024-02-12/2024-02-18,Debt collection,,6 companies spiked together (avg 2.6x),15.899186861391966,"[8330082, 8343510, 8345609, 8357056, 8348600, 8339587, 8346239, 8331744, 8334883, 8329150]",,,,,6.0,"['CL Holdings LLC', 'National Credit Systems,Inc.', 'CAPITAL ONE FINANCIAL CORPORATION', 'NAVY FEDERAL CREDIT UNION', 'Eastern Account Systems of Connecticut, Inc.', 'CREDIT ACCEPTANCE CORPORATION']",2.65,"{'Attempts to collect debt not owed': 71, 'Written notification about debt': 29, 'False statements or representation': 13}",,,,,,,,
clust_Debt collection_2024-05-06/2024-05-12_8,cluster_shrinking,high,2026-02-02 02:37:40.735637,2024-05-06/2024-05-12,Debt collection,,Cluster 'cluster_8' shrinking: 17.1% → 1.3%,15.857291895201971,"[8978855, 8936832, 8949990, 8944396, 8952221, 8944130, 8978918, 8936768, 8971875, 8936743]",,,,,,,,,8.0,cluster_8,17.07,1.32,-15.86,,,
corr_Debt collection_2024-10-21/2024-10-27,correlated_spike,high,2026-02-02 02:37:40.171217,2024-10-21/2024-10-27,Debt collection,,6 companies spiked together (avg 2.6x),15.560025062656642,"[10595181, 10535698, 10571377, 10534177, 10538933, 10564924, 10538060, 10565541, 10535032, 10521470]",,,,,6.0,"['Velocity Portfolio Group', 'Credit Control, LLC', 'SANTANDER HOLDINGS USA, INC.', 'Aargon Agency, Inc.', 'GOLDMAN SACHS BANK USA', 'Professional Debt Mediation, Inc.']",2.59,"{'Attempts to collect debt not owed': 18, 'Written notification about debt': 10, 'False statements or representation': 9}",,,,,,,,
clust_Debt collection_2024-07-01/2024-07-07_1,cluster_shrinking,high,2026-02-02 02:37:39.560789,2024-07-01/2024-07-07,Debt collection,,Cluster 'cluster_1' shrinking: 22.5% → 1.6%,15.437121111484407,"[9416847, 9407324, 9407347, 9416958, 9433052, 9400603, 9416030, 9436260, 9416972, 9436376]",,,,,,,,,1.0,cluster_1,22.52,1.6,-15.44,,,
vol_Debt collection_2024-08-26/2024-09-01_b551a6e4,volume_spike,high,2026-02-02 02:37:39.636960,2024-08-26/2024-09-01,Debt collection,Self Financial Inc.,Self Financial Inc.: 8 vs 1.8 expected (4.6x),15.22119311792165,"[9954273, 9983974, 9972598, 9969778, 9935700, 9942236, 9933733, 9951869]",8.0,1.8,4.57,0.000468,,,,,,,,,,,,
vol_Debt collection_2024-04-15/2024-04-21_ba8b5494,volume_spike,high,2026-02-02 02:37:40.124712,2024-04-15/2024-04-21,Debt collection,"SANTANDER HOLDINGS USA, INC.","SANTANDER HOLDINGS USA, INC.: 8 vs 1.8 expected (4.6x)",15.22119311792165,"[8778913, 8776637, 8791214, 8795578, 8785429, 8798173, 8810994, 8807475]",8.0,1.8,4.57,0.000468,,,,,,,,,,,,
corr_Debt collection_2024-02-05/2024-02-11,correlated_spike,high,2026-02-02 02:37:40.974190,2024-02-05/2024-02-11,Debt collection,,5 companies spiked together (avg 3.0x),15.038095238095238,"[8296601, 8289355, 8314562, 8304083, 8287302, 8316548, 8299950, 8304224, 8302001, 8289581]",,,,,5.0,"['Sequium Asset Solutions, LLC', 'TrueAccord Corp.', 'Diversified Adjustment Service, Inc.', 'ONLINE Information Services, Inc.', 'Radius Global Solutions LLC']",3.01,"{'Attempts to collect debt not owed': 24, 'Written notification about debt': 5, 'Communication tactics': 4}",,,,,,,,
corr_Debt collection_2024-06-24/2024-06-30,correlated_spike,high,2026-02-02 02:37:40.767865,2024-06-24/2024-06-30,Debt collection,,6 companies spiked together (avg 2.5x),14.808496732026146,"[9383300, 9332195, 9350138, 9355894, 9354285, 9334082, 9361141, 9336003, 9351984, 9382255]",,,,,6.0,"['FAIR COLLECTIONS & OUTSOURCING, INC.', 'AMERICAN EXPRESS COMPANY', 'V and H Portfolio', 'Consumer Adjustment Company Incorporated', 'Waypoint Resource Group, LLC', 'MRS BPO, LLC']",2.47,"{'Attempts to collect debt not owed': 21, 'Written notification about debt': 10, 'False statements or representation': 4}",,,,,,,,
corr_Debt collection_2024-12-16/2024-12-22,correlated_spike,high,2026-02-02 02:37:39.336739,2024-12-16/2024-12-22,Debt collection,,6 companies spiked together (avg 2.4x),14.663546798029557,"[11222544, 11205002, 11202667, 11179456, 11211955, 11226729, 11199239, 11205343, 11246373, 11163028]",,,,,6.0,"['Spring Oaks Capital, LLC', 'Collection Management Holdings, LLC', 'Consumer Adjustment Company Incorporated', 'Sequium Asset Solutions, LLC', 'Credit Corp Solutions Inc.', 'Northstar Location Services, LLC']",2.44,"{'Attempts to collect debt not owed': 26, 'False statements or representation': 9, 'Took or threatened to take negative or legal action': 7}",,,,,,,,
corr_Debt collection_2024-07-15/2024-07-21,correlated_spike,high,2026-02-02 02:37:40.544877,2024-07-15/2024-07-21,Debt collection,,6 companies spiked together (avg 2.4x),14.2979797979798,"[9551618, 9554108, 9565909, 9566238, 9567438, 9514335, 9573757, 9567673, 9521325, 9549324]",,,,,6.0,"['CAVALRY INVESTMENTS, LLC', 'JPMORGAN CHASE & CO.', 'NAVY FEDERAL CREDIT UNION', 'WELLS FARGO & COMPANY', 'RentDebt Automated Collections, LLC', 'Penn Credit Corporation']",2.38,"{'Attempts to collect debt not owed': 21, 'Written notification about debt': 8, 'False statements or representation': 7}",,,,,,,,
vol_Debt collection_2023-12-25/2023-12-31_b1b07e3e,volume_spike,high,2026-02-02 02:37:40.041479,2023-12-25/2023-12-31,Debt collection,"Security Credit Services, LLC","Security Credit Services, LLC: 7 vs 1.5 expected (4.7x)",14.155832875311566,"[8085843, 8070860, 8073877, 8067832, 8055593, 8065197, 8065237]",7.0,1.5,4.67,0.000926,,,,,,,,,,,,
vol_Debt collection_2025-01-06/2025-01-12_8617a5da,volume_spike,high,2026-02-02 02:37:40.326665,2025-01-06/2025-01-12,Debt collection,"Kimball, Tirey & St. John LLP","Kimball, Tirey & St. John LLP: 7 vs 1.5 expected (4.7x)",14.155832875311566,"[11469000, 11492086, 11442476, 11402356, 11491982, 11410005, 11459942]",7.0,1.5,4.67,0.000926,,,,,,,,,,,,
vol_Debt collection_2024-04-22/2024-04-28_939f9fb5,volume_spike,high,2026-02-02 02:37:40.423422,2024-04-22/2024-04-28,Debt collection,Source Receivables Management LLC,Source Receivables Management LLC: 7 vs 1.5 expected (4.7x),14.155832875311566,"[8867134, 8871020, 8867312, 8875818, 8852068, 8867072, 8852297]",7.0,1.5,4.67,0.000926,,,,,,,,,,,,
