alert_id,type,severity,week,description,score,entity,observed,expected,ratio,p_value,companies_affected,company_list,avg_growth_ratio,common_issues,cluster_id,cluster_label,baseline_share,current_share,z_score
vol_2024-08-19/2024-08-25_6490,volume_spike,high,2024-08-19/2024-08-25,"Credit Control, LLC: 18 complaints vs 2.2 expected (8.0x)",78.81238637950213,"Credit Control, LLC",18.0,2.2,8.0,0.0,,,,,,,,,
vol_2024-02-19/2024-02-25_5823,volume_spike,high,2024-02-19/2024-02-25,CL Holdings LLC: 145 complaints vs 27.8 expected (5.2x),52.25225225225225,CL Holdings LLC,145.0,27.8,5.23,0.0,,,,,,,,,
vol_2024-02-12/2024-02-18_5823,volume_spike,high,2024-02-12/2024-02-18,CL Holdings LLC: 63 complaints vs 16.8 expected (3.8x),37.61194029850746,CL Holdings LLC,63.0,16.8,3.76,0.0,,,,,,,,,
vol_2024-03-11/2024-03-17_3109,volume_spike,high,2024-03-11/2024-03-17,"TRANSUNION INTERMEDIATE HOLDINGS, INC.: 365 complaints vs 112.5 expected (3.2x)",32.44444444444444,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",365.0,112.5,3.24,0.0,,,,,,,,,
corr_2025-01-13/2025-01-19,correlated_spike,high,2025-01-13/2025-01-19,13 companies spiked together (avg 2.3x),30.49345955587189,,,,,,13.0,"['Aldous & Associates, PLLC', 'Bridgecrest Acceptance Corporation', 'CAINE & WEINER COMPANY, INC.', 'First Credit Services Inc.', 'Harris & Harris, Ltd.', 'January Technologies, Inc', 'Kikoff Inc.', 'NCB Management Services Inc.', 'OneMain Finance Corporation', 'RentDebt Automated Collections, LLC']",2.35,"{'Attempts to collect debt not owed': 66, 'False statements or representation': 35, 'Written notification about debt': 18}",,,,,
vol_2024-03-11/2024-03-17_7766,volume_spike,high,2024-03-11/2024-03-17,"EQUIFAX, INC.: 291 complaints vs 95.5 expected (3.0x)",30.47120418848168,"EQUIFAX, INC.",291.0,95.5,3.05,0.0,,,,,,,,,
vol_2024-03-11/2024-03-17_6765,volume_spike,high,2024-03-11/2024-03-17,Experian Information Solutions Inc.: 313 complaints vs 103.0 expected (3.0x),30.388349514563107,Experian Information Solutions Inc.,313.0,103.0,3.04,0.0,,,,,,,,,
vol_2024-03-04/2024-03-10_7766,volume_spike,high,2024-03-04/2024-03-10,"EQUIFAX, INC.: 187 complaints vs 61.8 expected (3.0x)",30.2834008097166,"EQUIFAX, INC.",187.0,61.8,3.03,0.0,,,,,,,,,
vol_2024-03-04/2024-03-10_3109,volume_spike,medium,2024-03-04/2024-03-10,"TRANSUNION INTERMEDIATE HOLDINGS, INC.: 220 complaints vs 74.2 expected (3.0x)",29.629629629629626,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",220.0,74.2,2.96,0.0,,,,,,,,,
corr_2025-01-20/2025-01-26,correlated_spike,high,2025-01-20/2025-01-26,11 companies spiked together (avg 2.6x),28.773392881628173,,,,,,11.0,"['Ability Recovery Services, LLC', 'Amsher Collection Services, Inc.', 'Bridgecrest Acceptance Corporation', 'Debt Recovery Solutions, LLC', 'Exeter Finance, LLC.', 'JPMORGAN CHASE & CO.', 'MRS BPO, LLC', 'Medical Data Systems, Inc.', 'The CBE Group, Inc.', 'United Collection Bureau, Inc.']",2.62,"{'Attempts to collect debt not owed': 47, 'Written notification about debt': 17, 'False statements or representation': 16}",,,,,
