type,week,cluster_id,current_share,baseline_share,z_score,severity,cluster_label,entity,observed,expected,ratio,p_value,novel_count,total_count,novel_share,sample_complaint_ids,companies_affected,company_list,avg_growth_ratio,common_issues,score
cluster_growing,2024-06-24/2024-06-30,16.0,11.3,1.19,18.93,high,"transactions, transactions report, authorize, report, did",,,,,,,,,,,,,,28.93
cluster_growing,2024-05-27/2024-06-02,21.0,18.15,5.02,16.81,high,"accounts, listed accounts, listed, accounts credit, fcra 605b",,,,,,,,,,,,,,26.81
volume_spike,2024-08-19/2024-08-25,,,,,high,,"Credit Control, LLC",18.0,3.0,6.0,0.0,,,,,,,,,26.0
volume_spike,2024-02-19/2024-02-25,,,,,high,,CL Holdings LLC,145.0,27.8,5.23,0.0,,,,,,,,,25.23
cluster_growing,2024-09-23/2024-09-29,3.0,9.76,1.83,14.62,high,"accounts, look documents, accordance fcra, report accordance, 605b look",,,,,,,,,,,,,,24.619999999999997
cluster_shrinking,2024-04-29/2024-05-05,28.0,0.78,13.44,-14.29,high,"need reporting, reporting correction, correction company, accounts need, identified inaccurate",,,,,,,,,,,,,,24.29
volume_spike,2024-02-12/2024-02-18,,,,,high,,CL Holdings LLC,63.0,16.8,3.76,0.0,,,,,,,,,23.759999999999998
cluster_growing,2024-01-22/2024-01-28,20.0,14.99,3.4,13.65,high,"credit report, report, credit, accounts, fraudulent",,,,,,,,,,,,,,23.65
volume_spike,2024-01-15/2024-01-21,,,,,high,,OneMain Finance Corporation,10.0,1.3,7.5,1e-06,,,,,,,,,23.499956572723136
volume_spike,2024-03-11/2024-03-17,,,,,high,,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",365.0,112.5,3.24,0.0,,,,,,,,,23.240000000000002
volume_spike,2024-03-11/2024-03-17,,,,,high,,"EQUIFAX, INC.",291.0,95.5,3.05,0.0,,,,,,,,,23.05
volume_spike,2024-03-11/2024-03-17,,,,,high,,Experian Information Solutions Inc.,313.0,103.0,3.04,0.0,,,,,,,,,23.04
volume_spike,2024-03-04/2024-03-10,,,,,high,,"EQUIFAX, INC.",187.0,61.8,3.03,0.0,,,,,,,,,23.03
cluster_growing,2024-05-06/2024-05-12,10.0,8.34,1.96,12.93,high,"recognize significance, ve identified, inaccurate troubling, erroneous entries, identified accounts",,,,,,,,,,,,,,22.93
cluster_growing,2024-03-25/2024-03-31,21.0,12.71,4.42,12.08,high,"accounts, listed accounts, listed, accounts credit, fcra 605b",,,,,,,,,,,,,,22.08
cluster_growing,2024-03-11/2024-03-17,20.0,9.47,2.69,11.88,high,"credit report, report, credit, accounts, fraudulent",,,,,,,,,,,,,,21.880000000000003
cluster_growing,2024-05-20/2024-05-26,10.0,12.39,4.5,11.44,high,"recognize significance, ve identified, inaccurate troubling, erroneous entries, identified accounts",,,,,,,,,,,,,,21.439999999999998
cluster_growing,2024-07-01/2024-07-07,16.0,12.96,4.06,11.39,high,"transactions, transactions report, authorize, report, did",,,,,,,,,,,,,,21.39
cluster_growing,2024-03-18/2024-03-24,26.0,13.35,5.19,11.36,high,"transactions, wish, formally, transactions consumer, inclusion specific",,,,,,,,,,,,,,21.36
cluster_growing,2024-06-03/2024-06-09,19.0,9.75,3.02,11.24,high,"discrepancies accounts, 605b review, discrepancies, importance removing, quite concerning",,,,,,,,,,,,,,21.240000000000002
cluster_growing,2024-03-04/2024-03-10,20.0,6.48,1.18,11.08,high,"credit report, report, credit, accounts, fraudulent",,,,,,,,,,,,,,21.08
cluster_growing,2024-04-29/2024-05-05,2.0,5.25,1.1,10.94,high,"inaccurate accounts, identified inaccurate, report identified, inaccurate, reviewing credit",,,,,,,,,,,,,,20.939999999999998
cluster_shrinking,2024-04-22/2024-04-28,21.0,2.43,10.24,-10.52,high,"accounts, listed accounts, listed, accounts credit, fcra 605b",,,,,,,,,,,,,,20.52
cluster_growing,2024-03-18/2024-03-24,21.0,7.9,2.45,10.32,high,"accounts, listed accounts, listed, accounts credit, fcra 605b",,,,,,,,,,,,,,20.32
cluster_shrinking,2024-05-20/2024-05-26,3.0,0.75,8.08,-10.09,high,"accounts, look documents, accordance fcra, report accordance, 605b look",,,,,,,,,,,,,,20.09
cluster_growing,2024-03-11/2024-03-17,28.0,8.95,3.11,10.06,high,"need reporting, reporting correction, correction company, accounts need, identified inaccurate",,,,,,,,,,,,,,20.060000000000002
cluster_growing,2024-02-19/2024-02-25,29.0,6.73,1.62,9.39,high,"1006, cfr 1006, 34, 12 cfr, cfr",,,,,,,,,,,,,,19.39
cluster_growing,2024-01-15/2024-01-21,20.0,8.21,1.81,9.32,high,"credit report, report, credit, accounts, fraudulent",,,,,,,,,,,,,,19.32
volume_spike,2023-12-04/2023-12-10,,,,,high,,"W&A Intermediate Co., LLC",13.0,3.0,4.33,1.6e-05,,,,,,,,,19.125877303012047
volume_spike,2024-05-06/2024-05-12,,,,,high,,"Aldous & Associates, PLLC",18.0,5.0,3.6,5e-06,,,,,,,,,18.901021309861203
cluster_shrinking,2024-04-15/2024-04-21,26.0,5.1,12.36,-8.76,high,"transactions, wish, formally, transactions consumer, inclusion specific",,,,,,,,,,,,,,18.759999999999998
cluster_shrinking,2024-04-15/2024-04-21,21.0,4.37,11.27,-8.69,high,"accounts, listed accounts, listed, accounts credit, fcra 605b",,,,,,,,,,,,,,18.689999999999998
